Good
input : images/horizontal.ppm
output : images/horizontal.jpg
sample_factors : 2x2,1x2,1x2
couleur : 1
verbose : 0
data_frame : 
nb_colonne : 376
nb_ligne : 367
nb_MCU : 2162
maximum_value : 255
header : 15
isRGB : 1
nb_MCU : 2162
h1 2 v1 2
nb_MCU_ligne 46 nb_MCU_colonne 47
2162
143 166 value 1 1+indice 118 buffer 22
144 120 value 0 1+indice 120 buffer 24
145 121 value 1 1+indice 120 buffer 24
146 167 value 0 1+indice 120 buffer 24
147 168 value 1 1+indice 120 buffer 24
148 122 value 0 1+indice 122 buffer 26
149 123 value 1 1+indice 122 buffer 26
150 169 value 0 1+indice 122 buffer 26
151 170 value 1 1+indice 122 buffer 26
152 124 value 0 1+indice 124 buffer 28
153 125 value 1 1+indice 124 buffer 28
154 171 value 0 1+indice 124 buffer 28
155 172 value 1 1+indice 124 buffer 28
156 126 value 0 1+indice 126 buffer 30
157 127 value 1 1+indice 126 buffer 30
158 173 value 0 1+indice 126 buffer 30
159 174 value 1 1+indice 126 buffer 30
160 128 value 0 1+indice 128 buffer 32
161 129 value 1 1+indice 128 buffer 32
162 175 value 0 1+indice 128 buffer 32
163 176 value 1 1+indice 128 buffer 32
164 130 value 0 1+indice 130 buffer 34
165 131 value 1 1+indice 130 buffer 34
166 177 value 0 1+indice 130 buffer 34
167 178 value 1 1+indice 130 buffer 34
168 132 value 0 1+indice 132 buffer 36
169 133 value 1 1+indice 132 buffer 36
170 179 value 0 1+indice 132 buffer 36
171 180 value 1 1+indice 132 buffer 36
172 134 value 0 1+indice 134 buffer 38
173 135 value 1 1+indice 134 buffer 38
174 181 value 0 1+indice 134 buffer 38
175 182 value 1 1+indice 134 buffer 38
176 136 value 0 1+indice 136 buffer 40
177 137 value 1 1+indice 136 buffer 40
178 183 value 0 1+indice 136 buffer 40
179 184 value 1 1+indice 136 buffer 40
180 138 value 0 1+indice 138 buffer 42
181 139 value 1 1+indice 138 buffer 42
182 185 value 0 1+indice 138 buffer 42
183 186 value 1 1+indice 138 buffer 42
184 140 value 0 1+indice 140 buffer 44
185 141 value 1 1+indice 140 buffer 44
186 187 value 0 1+indice 140 buffer 44
187 188 value 1 1+indice 140 buffer 44
188 142 value 0 1+indice 142 buffer 46
189 143 value 1 1+indice 142 buffer 46
190 189 value 0 1+indice 142 buffer 46
191 190 value 1 1+indice 142 buffer 46
192 191 value 0 1+indice 191 buffer 0
193 192 value 1 1+indice 191 buffer 0
194 238 value 0 1+indice 191 buffer 0
195 239 value 1 1+indice 191 buffer 0
196 193 value 0 1+indice 193 buffer 2
197 194 value 1 1+indice 193 buffer 2
198 240 value 0 1+indice 193 buffer 2
199 241 value 1 1+indice 193 buffer 2
200 195 value 0 1+indice 195 buffer 4
201 196 value 1 1+indice 195 buffer 4
202 242 value 0 1+indice 195 buffer 4
203 243 value 1 1+indice 195 buffer 4
204 197 value 0 1+indice 197 buffer 6
205 198 value 1 1+indice 197 buffer 6
206 244 value 0 1+indice 197 buffer 6
207 245 value 1 1+indice 197 buffer 6
208 199 value 0 1+indice 199 buffer 8
209 200 value 1 1+indice 199 buffer 8
210 246 value 0 1+indice 199 buffer 8
211 247 value 1 1+indice 199 buffer 8
212 201 value 0 1+indice 201 buffer 10
213 202 value 1 1+indice 201 buffer 10
214 248 value 0 1+indice 201 buffer 10
215 249 value 1 1+indice 201 buffer 10
216 203 value 0 1+indice 203 buffer 12
217 204 value 1 1+indice 203 buffer 12
218 250 value 0 1+indice 203 buffer 12
219 251 value 1 1+indice 203 buffer 12
220 205 value 0 1+indice 205 buffer 14
221 206 value 1 1+indice 205 buffer 14
